Data,mean,upper_lim,lower_lim,LPC_SECO
2017-12-01,158.228,158.228,158.228,158.228
2018-01-01,160.09551148504275,160.55936458333335,159.63165838675215,157.885
2018-02-01,165.19959876182844,166.22920758928572,164.1699899343712,158.6125
2018-03-01,170.30368603861416,171.8990505952381,168.70832148199025,168.358
2018-04-01,172.17119752365693,174.23041517857143,170.1119798687424,169.305
2018-05-01,177.27528480044262,179.9002581845238,174.65031141636143,172.68
2018-06-01,182.37937207722837,185.5701011904762,179.1886429639805,178.18
2018-07-01,184.24688356227108,187.90146577380952,180.5923013507326,181.2025
2018-08-01,182.29188963865997,186.48371924603174,178.1000600312882,181.8775
2018-09-01,178.48116568032665,183.25185987103177,173.71047148962154,167.552
2018-10-01,175.61911533310445,180.75961855158732,170.47861211462157,163.5825
2018-11-01,168.47059449977112,174.04441021825397,162.89677878128828,161.5025
2018-12-01,170.33810598481386,176.3757748015873,164.30043716804042,159.774
2019-01-01,172.20561746985658,178.70713938492065,165.70409555479253,163.855
2019-02-01,174.07312895489932,181.03850396825396,167.10775394154467,176.9925
2019-03-01,175.0144567860959,182.4421623550061,167.5867512171857,179.624
2019-04-01,175.9557846172925,183.84582074175825,168.06574849282674,182.575
2019-05-01,177.82329610233523,186.17718532509159,169.46940687957888,182.1525
2019-06-01,179.69080758737795,188.5085499084249,170.873065266331,179.72
2019-07-01,180.63213541857453,189.91220829517704,171.35206254197203,179.62
2019-08-01,178.67714149496345,188.49446176739926,168.85982122252761,177.572
2019-09-01,174.86641753663014,185.2626023923993,164.47023268086096,164.47
2019-10-01,172.911423613019,183.8448558646215,161.9779913614165,165.775
2019-11-01,172.98511600083953,184.32385314026254,161.6463788614165,166.716
2019-12-01,173.05880838866003,184.80285041590355,161.3147663614165,166.6225
2020-01-01,173.13250077648055,185.28184769154458,160.98315386141653,169.3075
2020-02-01,173.20619316430106,185.76084496718562,160.65154136141652,171.776
2020-03-01,174.14752099549764,187.16450335393776,161.13053863705753,169.25
2020-04-01,167.9376642246643,181.4599981456044,154.4153303037242,159.7825
2020-05-01,165.9826703010532,180.04225161782662,151.92308898427976,150.718
2020-06-01,158.83414946771987,173.32704328449327,144.34125565094647,150.1325
2020-07-01,151.68562863438655,166.61183495115995,136.75942231761317,149.61
2020-08-01,150.81094912049767,166.28022245115994,135.3416757898354,147.484
2020-09-01,151.75227695169423,167.68388083791206,135.82067306547643,147.0275
2020-10-01,153.619788436737,170.0152454212454,137.22433145222857,150.662
2020-11-01,158.7238757135227,175.68508842719777,141.7626629998476,157.815
2020-12-01,163.8279629903084,181.35493143315017,146.30099454746664,159.9425
