Data,mean,upper_lim,lower_lim,LPC_SECO
2017-12-01,158.228,158.228,158.228,158.228
2018-01-01,158.49932965818903,160.78405167748917,156.2146076388889,157.885
2018-02-01,163.50438674693362,168.23811417748917,158.77065931637807,158.6125
2018-03-01,168.5094438356782,175.69217667748916,161.32671099386724,168.358
2018-04-01,173.5145009244228,183.14623917748915,163.88276267135643,169.305
2018-05-01,173.78583058261182,185.70229085497834,161.86937031024533,172.68
2018-06-01,178.79088767135642,193.15635335497834,164.4254219877345,178.18
2018-07-01,179.06221732954543,195.7124050324675,162.4120296266234,181.2025
2018-08-01,179.33354698773448,198.2684567099567,160.39863726551226,181.8775
2018-09-01,174.53593414051227,196.25506434884556,152.81680393217897,167.552
2018-10-01,169.73832129329008,194.24167198773446,145.23497059884568,163.5825
2018-11-01,164.94070844606787,192.22827962662336,137.65313726551238,161.5025
2018-12-01,160.14309559884566,190.21488726551223,130.0713039321791,159.774
2019-01-01,165.14815268759025,197.66894976551225,132.62735560966829,163.855
2019-02-01,170.15320977633485,205.12301226551222,135.18340728715745,176.9925
2019-03-01,175.15826686507944,212.57707476551224,137.73945896464664,179.624
2019-04-01,175.42959652326846,215.1331264430014,135.72606660353551,182.575
2019-05-01,175.70092618145748,217.68917812049057,133.7126742424244,182.1525
2019-06-01,175.97225583964655,220.24522979797976,131.6992818813133,179.72
2019-07-01,176.24358549783557,222.80128147546895,129.68588952020218,179.62
2019-08-01,176.51491515602459,225.35733315295812,127.67249715909108,177.572
2019-09-01,171.7173023088024,223.343940791847,120.09066382575779,164.47
2019-10-01,166.9196894615802,221.3305484307359,112.5088304924245,165.775
2019-11-01,167.19101911976924,223.88660010822508,110.49543813131339,166.716
2019-12-01,167.46234877795825,226.44265178571425,108.48204577020229,166.6225
2020-01-01,167.7336784361473,228.9987034632034,106.46865340909117,169.3075
2020-02-01,168.00500809433635,231.5547551406926,104.45526104798006,171.776
2020-03-01,163.20739524711414,229.5413627795815,96.87342771464677,169.25
2020-04-01,158.40978239989192,227.52797041847037,89.29159438131347,159.7825
2020-05-01,153.6121695526697,225.51457805735924,81.70976104798018,150.718
2020-06-01,148.8145567054475,223.50118569624814,74.12792771464689,150.1325
2020-07-01,153.8196137941921,230.95524819624814,76.68397939213607,149.61
2020-08-01,149.02200094696988,228.941855835137,69.10214605880277,147.484
2020-09-01,154.0270580357145,236.39591833513703,71.65819773629195,147.0275
2020-10-01,159.03211512445907,243.849980835137,74.21424941378113,150.662
2020-11-01,159.3034447826481,246.40603251262618,72.20085705267002,157.815
2020-12-01,159.57477444083713,248.96208419011538,70.1874646915589,159.9425
2021-01-01,164.57983152958172,256.41614669011534,72.74351636904808,161.542
2021-02-01,169.58488861832632,263.87020919011536,75.29956804653726,163.905
2021-03-01,174.58994570707088,271.3242716901153,77.85561972402644,163.4075
2021-04-01,179.59500279581547,278.77833419011534,80.41167140151562,170.9
2021-05-01,184.60005988456004,286.2323966901153,82.9677230790048,188.41
2021-06-01,189.60511697330466,293.68645919011533,85.52377475649398,216.9675
2021-07-01,194.61017406204923,301.1405216901153,88.07982643398316,235.298
2021-08-01,194.88150372023824,303.69657336760446,86.06643407287204,236.2875
2021-09-01,195.15283337842726,306.2526250450936,84.05304171176093,203.2675
2021-10-01,195.4241630366163,308.8086767225828,82.03964935064981,183.186
2021-11-01,200.4292201253609,316.2627392225828,84.59570102813899,177.3175
2021-12-01,200.7005497835499,318.8187909000719,82.58230866702787,179.0925
