Data,mean,upper_lim,lower_lim,LPC_SECO
2017-12-01,158.228,158.228,158.228,158.228
2018-01-01,160.09551148504275,160.55936458333335,159.63165838675215,157.885
2018-02-01,161.9630229700855,162.89072916666666,161.0353167735043,158.6125
2018-03-01,162.90435080128205,164.2943875534188,161.5143140491453,168.358
2018-04-01,163.84567863247864,165.69804594017094,161.99331132478633,169.305
2018-05-01,163.91937102029914,166.17704321581198,161.66169882478633,172.68
2018-06-01,164.86069885149573,167.5807016025641,162.14069610042736,178.18
2018-07-01,166.72821033653847,169.91206618589743,163.5443544871795,181.2025
2018-08-01,168.5957218215812,172.24343076923077,164.94801287393165,181.8775
2018-09-01,169.53704965277777,173.64708915598288,165.42701014957265,167.552
2018-10-01,170.47837748397436,175.05074754273502,165.9060074252137,163.5825
2018-11-01,171.41970531517094,176.45440592948717,166.38500470085472,161.5025
2018-12-01,171.49339770299144,176.9334032051282,166.05339220085472,159.774
2019-01-01,171.56709009081197,177.41240048076924,165.7217797008547,163.855
2019-02-01,171.64078247863247,177.89139775641024,165.3901672008547,176.9925
2019-03-01,171.71447486645297,178.37039503205128,165.0585547008547,179.624
2019-04-01,172.65580269764956,179.77405341880342,165.53755197649573,182.575
2019-05-01,174.52331418269233,182.10541800213676,166.94121036324788,182.1525
2019-06-01,176.39082566773504,184.43678258547007,168.34486875000002,179.72
2019-07-01,177.33215349893163,185.8404409722222,168.82386602564105,179.62
2019-08-01,175.37715957532052,184.42269444444443,166.3316247061966,177.572
2019-09-01,175.45085196314102,184.90169172008547,166.0000122061966,164.47
2019-10-01,175.52454435096155,185.38068899572647,165.6683997061966,165.775
2019-11-01,175.59823673878205,185.8596862713675,165.3367872061966,166.716
2019-12-01,175.67192912660255,186.33868354700854,165.00517470619658,166.6225
2020-01-01,175.74562151442308,186.81768082264958,164.67356220619658,169.3075
2020-02-01,175.8193139022436,187.2966780982906,164.3419497061966,171.776
2020-03-01,176.76064173344017,188.70033648504273,164.8209469818376,169.25
2020-04-01,177.70196956463676,190.10399487179487,165.29994425747864,159.7825
2020-05-01,178.64329739583334,191.507653258547,165.77894153311968,150.718
2020-06-01,179.5846252270299,192.91131164529915,166.25793880876068,150.1325
2020-07-01,181.45213671207264,195.24267622863246,167.66159719551283,149.61
2020-08-01,183.31964819711538,197.5740408119658,169.06525558226497,147.484
2020-09-01,184.26097602831197,198.97769919871791,169.544252857906,147.0275
2020-10-01,186.12848751335468,201.30906378205125,170.94791124465814,150.662
2020-11-01,191.2325747901404,206.97890678800366,175.48624279227718,157.815
2020-12-01,196.33666206692612,212.64874979395603,180.02457433989622,159.9425
2021-01-01,201.44074934371184,218.3185927999084,184.56290588751529,161.542
2021-02-01,203.30826082875458,220.64995738324174,185.96656427426743,163.905
2021-03-01,204.24958865995117,222.05361576999388,186.44556154990846,163.4075
2021-04-01,206.11710014499388,224.3849803533272,187.84921993666057,170.9
2021-05-01,207.0584279761905,225.78863874007936,188.3282172123016,188.41
2021-06-01,207.13212036401097,226.26763601572037,187.9966047123016,216.9675
2021-07-01,203.3213964056777,223.0357766407204,183.60701617063498,235.298
2021-08-01,198.27434953067768,218.64618809905375,177.90251096230162,236.2875
2021-09-01,191.12582869734436,211.9309797657204,170.32067762896833,203.2675
2021-10-01,183.97730786401104,205.21577143238707,162.73884429563503,183.186
2021-11-01,176.82878703067774,198.50056309905372,155.15701096230174,177.3175
2021-12-01,169.6802661973444,191.78535476572037,147.57517762896845,179.0925
2022-01-01,162.5317453640111,185.07014643238702,139.99334429563515,177.332
2022-02-01,155.38322453067778,178.3549380990537,132.41151096230186,176.03
2022-03-01,148.23470369734446,171.63972976572035,124.82967762896858,182.48
2022-04-01,141.08618286401114,164.924521432387,117.24784429563529,179.77
2022-05-01,133.9376620306778,158.20931309905365,109.666010962302,176.7725
2022-06-01,126.78914119734449,151.4941047657203,102.0841776289687,173.04
2022-07-01,120.57928442651117,145.78959955738696,95.36896929563537,167.816
2022-08-01,117.71723407928894,143.29735823794252,92.13710992063538,162.235
2022-09-01,114.85518373206675,140.8051169184981,88.9052505456354,156.0825
2022-10-01,111.99313338484454,138.31287559905365,85.67339117063543,145.414
2022-11-01,109.13108303762235,135.82063427960924,82.44153179563546,140.7375
2022-12-01,106.26903269040014,133.3283929601648,79.20967242063548,133.594
2023-01-01,100.0591759195668,127.62388775183145,72.49446408730213,116.465
2023-02-01,95.0121290445668,123.2342992101648,66.7899588789688,103.205
2023-03-01,95.9534568757634,124.63795759691695,67.26895615460984,99.1625
2023-04-01,96.89478470695997,126.04161598366908,67.74795343025087,91.066
2023-05-01,97.83611253815656,127.44527437042122,68.22695070589191,85.695
2023-06-01,98.77744036935314,128.84893275717334,68.70594798153294,87.97749999999999
2023-07-01,99.71876820054973,130.25259114392549,69.18494525717398,87.852
2023-08-01,100.66009603174632,131.65624953067763,69.66394253281501,87.315
2023-09-01,101.60142386294291,133.05990791742977,70.14293980845605,94.074
